Hybrid ; PSPOH-301000020
V_1v25_T ; 1.2602
V_1v_L ; 1.05306
V_1v_R ; 1.04638

C_HIV ; 0.652823
C_2v55 ; 0.0936770
C_1v25_L ; 0.642042
C_1v25_R ; 0.633774
C_1v25_T ; 0.644760
C_1v_L ; 0.996180
C_1v_R ; 0.990086

P_IN ; 7.01165
P_OUT ; 4.74037
EFF_% ; 67.6071

R_2v55 ; 1.02567
R_1v25 ; 1.22021
R_1V ; 0.641235

T_PCB ; 29.8984
T_AMB ; 31.1641
T_HYB ; 37.2679
T_PTAT ; 39.2857

PTAT_offset ; 1.15481
CH1: V ; 3.5
CH1: A ; 0.0095
CH2: V ; 5
CH2: A ; 0.0254
CH3: V ; 3.3
CH3: A ; 0.0633
CH4: V ; 10.9
CH4: A ; 0.6736
SET:LOAD ; 1

LOAD_1v25L ; 1
LOAD_1v25R ; 1
LOAD_1v25T ; 1
LOAD_1vL ; 1
LOAD_1vR ; 1

V_HIV ; 10.7007
V_2v55 ; 2.61104
V_1v25_L ; 1.23695
V_1v25_R ; 1.24674
V_1v25_T ; 1.25116
V_1v_L ; 1.04626
V_1v_R ; 1.03741

C_HIV ; 0.820193
C_2v55 ; 0.0936770
C_1v25_L ; 0.799398
C_1v25_R ; 0.792017
C_1v25_T ; 0.802116
C_1v_L ; 1.23602
C_1v_R ; 1.2311

P_IN ; 8.77666
P_OUT ; 5.79478
EFF_% ; 66.0248

R_2v55 ; 1.04901
R_1v25 ; 1.29881
R_1V ; 0.657578

T_PCB ; 29.9141
T_AMB ; 31.3984
T_HYB ; 38.9991
T_PTAT ; 41.7396

PTAT_offset ; 1.15481
CH1: V ; 3.5
CH1: A ; 0.0096
CH2: V ; 5
CH2: A ; 0.0254
CH3: V ; 3.3
CH3: A ; 0.0651
CH4: V ; 10.9
CH4: A ; 0.8401
SET:LOAD ; 1.20000005

LOAD_1v25L ; 1.2
LOAD_1v25R ; 1.2
LOAD_1v25T ; 1.2
LOAD_1vL ; 1.2
LOAD_1vR ; 1.2

V_HIV ; 10.6594
V_2v55 ; 2.60815
V_1v25_L ; 1.22585
V_1v25_R ; 1.23717
V_1v25_T ; 1.24269
V_1v_L ; 1.0391
V_1v_R ; 1.02841

C_HIV ; 0.994143
C_2v55 ; 0.0936842
C_1v25_L ; 0.947514
C_1v25_R ; 0.940819
C_1v25_T ; 0.950031
C_1v_L ; 1.47592
C_1v_R ; 1.47182

P_IN ; 10.597
P_OUT ; 6.79767
EFF_% ; 64.1471

R_2v55 ; 1.0638
R_1v25 ; 1.40932
R_1V ; 0.683258

T_PCB ; 29.9766
T_AMB ; 31.6484
T_HYB ; 41.041
T_PTAT ; 45.0997

PTAT_offset ; 1.15481
Turning off ; 0
SET:LOAD ; 0
HIV ; OFF
Supply ; OFF

Finished computation at ; Wed Feb 16 11:44:18 2022

Duration (min) ; 0.723044
